objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237670965385298135,139.574095428677,14.4008871821368,19.29302,17.91843,17.22045,16.82889,16.57793,5935,301,4,155,2747278575001430016,GALAXY,0.07942434,2440,53818,301
1237667536937353418,159.105956968684,22.0518786075431,19.50278,18.36922,17.84993,17.46337,17.31818,5137,301,2,303,2665023284571039744,GALAXY,0.0637403,2367,53763,66
1237667536939253834,163.74816113172,22.7517697736139,19.57074,17.71785,16.85721,16.50406,16.20903,5137,301,2,332,2793366808399210496,GALAXY,0.07775977,2481,54086,33
1237678617430786114,29.614078438064,1.04469180403303,18.39655,17.41665,17.14714,17.05958,17.04017,7717,301,1,527,8255281847535423488,STAR,0.0003701375,7332,56683,668
1237659346953306204,201.170117863237,7.12470366393891,18.86066,17.91374,17.56237,17.26353,17.13068,3230,301,3,24,2025630331511531520,GALAXY,0.1202669,1799,53556,496
1237678661436702886,29.1261865940232,4.23429478406343,19.25326,18.3513,18.05211,17.96206,17.91607,7727,301,3,260,4807636675143684096,STAR,-0.0003920686,4270,55511,160
1237665441527824607,224.964657798044,23.6039821963876,19.30477,18.07525,17.56482,17.22213,17.03471,4649,301,3,267,2419572444470732800,GALAXY,0.09134264,2149,54509,49
1237665441523040419,213.438800057732,26.5508824790071,18.3357,16.52953,15.71124,15.32506,15.01625,4649,301,3,194,6766858103776628736,GALAXY,0.06440192,6010,56097,726
1237673709863174377,127.064456722864,-4.75843265258634,18.71531,17.14026,16.55916,16.34495,16.24414,6574,301,4,60,3160472856014383104,STAR,-1.08831E-05,2807,54433,261
1237654599952629883,149.78619574502,2.90667424953617,18.86685,18.61755,18.56571,18.37543,18.36246,2125,301,1,206,563094022898345984,QSO,1.56087,500,51994,524
1237670961086201862,36.9152637639637,24.0863717665421,18.78726,17.12819,16.40216,16.11632,15.97406,5934,301,4,92,3649159052883238912,STAR,-1.305648E-05,3241,54884,427
1237659326031986875,251.861102316982,34.8853168471136,19.55523,18.05228,17.34426,16.85829,16.57435,3225,301,4,278,1323073174853675008,GALAXY,0.099711,1175,52791,512
1237659326015078579,205.430542743246,58.7465301192529,18.65519,17.21725,16.47773,16.0544,15.73592,3225,301,4,20,1081017333125769216,GALAXY,0.0831833,960,52425,558
1237659326033756547,254.739428991882,31.6613516396383,18.53769,16.76773,15.83042,15.28039,14.85233,3225,301,4,305,1324077303847741440,GALAXY,0.0699736,1176,52791,69
1237666300021440612,56.5150866651409,-0.450625451801909,18.68885,17.21283,16.21164,15.69178,15.31163,4849,301,2,832,1195735981576185856,GALAXY,0.1307159,1062,52619,110
1237662337330315585,243.460067764233,30.4618951760422,19.22673,17.97402,17.32858,16.94899,16.72028,3926,301,5,116,1583181068649916416,GALAXY,0.1334795,1406,52876,603
1237648704598900925,233.276763666801,0.109775507336509,18.33835,17.92571,17.97934,17.73849,17.90012,752,301,4,599,354742611195488256,QSO,0.5891979,315,51663,306
1237664880489332834,147.908258416232,32.7951549890206,19.17569,18.31086,18.02395,17.91574,17.89508,4518,301,6,139,6529300923839434752,STAR,0.0004673154,5799,56325,754
1237660961863893060,133.875188841957,31.9203157440609,18.8257,18.6237,18.48473,18.49617,18.40343,3606,301,3,68,11747822008616112128,QSO,1.18304,10434,58140,663
